License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Name,Agency Zone Office Number,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,Zip,License Certificate Number,License Original Issue Date,License Effective Date,License Expiration Date,Latitude,Longitude,Location
2505914,SUMMER EATING PLACE BEER,441,SB,Albany,2,ONONDAGA,TWIN TREES ENTERPRISES INC,TWIN TREES PIZZA,SPACE 332 NYS FAIRGROUNDS,T/O GEDDES,SYRACUSE,NY,13209,881327,,7/13/2016,10/31/2016,,,
2505936,SUMMER O.P. FOOD & BEV,548,SL,Albany,2,ONONDAGA,POPES GROVE INC,POPES GROVE GOLF COURSE,695 STATE FAIR BLVD,T/O GEDDES,SYRACUSE,NY,13209,859171,3/3/2011,4/1/2016,10/31/2016,,,
2505947,O.P. FOOD AND BEV,252,TL,Albany,2,ONONDAGA,NEW DEPOT GRILL INC,NEW DEPOT GRILL,501 BURNET AVE,,SYRACUSE,NY,13203,867244,9/12/2003,10/1/2016,9/30/2018,43.052248,-76.13905239,"(43.052248, -76.13905239)"
2600756,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,HAN GARAM INC,HANS ORIENTAL SUPERMARKET,2737 ERIE BLVD E,,SYRACUSE,NY,13224,861701,11/1/1999,11/1/2014,10/31/2017,43.05479865,-76.09610233,"(43.05479865, -76.09610233)"
2600777,"DRUG CHAIN, WINE PROD",126,DX,Albany,2,ONONDAGA,ECKERD CORPORATION,RITE AID PHARMACY #10758,401 W SENECA TRPKE,,SYRACUSE,NY,13207,871657,,8/1/2015,7/31/2018,43.00200416,-76.15320338,"(43.00200416, -76.15320338)"
2600820,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,A & N FOODS INC,MIDDLE EAST SUPER MARKET,1919 S STATE ST,E COLVIN & E BEARD ST,SYRACUSE,NY,13205,861307,12/27/1999,12/1/2014,11/30/2017,43.02646236,-76.14353143,"(43.02646236, -76.14353143)"
2600832,RESTAURANT WINE,341,RW,Albany,2,ONONDAGA,MO BETTA BURRITOS INC,THE MISSION,304 E ONONDAGA ST,E JEFFERSON & STATE ST,SYRACUSE,NY,13202,827406,1/5/2012,2/1/2015,1/31/2017,43.04705412,-76.14857693,"(43.04705412, -76.14857693)"
2601036,"GROCERY CHAIN, WINE PROD",128,AX,Albany,2,ONONDAGA,PRICE CHOPPER OPERATING CO INC,PRICE CHOPPER #172,2515 ERIE BLVD EAST,,SYRACUSE,NY,13224,868840,,7/1/2015,6/30/2018,43.05403331,-76.10266009,"(43.05403331, -76.10266009)"
2601102,"GROCERY CHAIN, WINE PROD",128,AX,Albany,2,ONONDAGA,PRICE CHOPPER OPERATING CO INC,PRICE CHOPPER #174,4713 ONONDAGA BLVD,,SYRACUSE,NY,13219,868841,7/1/2000,7/1/2015,6/30/2018,43.03263266,-76.19299091,"(43.03263266, -76.19299091)"
2601106,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,HANS MUSIC CITY INC,SECRET GARDEN KOREAN REST,2731 ERIE BLVD E,THOMPSON RD AND MIDLER AVE,SYRACUSE,NY,13210,859619,,6/1/2016,5/31/2018,43.05477743,-76.09628256,"(43.05477743, -76.09628256)"
2601137,HOTEL LIQUOR,242,HL,Albany,2,ONONDAGA,SYRACUSE UNIVERSITY HOTEL & CONFERENCE CENTER LLC,,801 UNIVERSITY AVE,,SYRACUSE,NY,13210,859982,,6/1/2016,5/31/2018,43.04156215,-76.13436704,"(43.04156215, -76.13436704)"
2601165,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,ROECO INC,GEORGE O'DEAS PUB,1333 W FAYETTE ST,NELSON ST & WILBUR AVE,SYRACUSE,NY,13204,860841,7/10/2000,7/1/2016,6/30/2018,43.04763493,-76.17793783,"(43.04763493, -76.17793783)"
2601192,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,FIRE & ICE OF HIAWATHA BLVD EAST INC,THE LOCKER ROOM,528 HIAWATHA BLVD EAST,,SYRACUSE,NY,13208,863629,,7/1/2016,6/30/2018,43.07545714,-76.16293182,"(43.07545714, -76.16293182)"
2601215,"DRUG CHAIN, WINE PROD",126,DX,Albany,2,ONONDAGA,RITE AID OF NEW YORK INC,RITE AID PHARMACY #633,1819 W GENESEE ST,,SYRACUSE,NY,13204,869498,,8/1/2015,7/31/2018,43.05095224,-76.19169266,"(43.05095224, -76.19169266)"
