"Establishment Number","Inspection Date","Time Orders Issued","Retention Of Food Equipment","Closure For Imminent Hazard","Closure For Cleaning","Disposed Of Food","Civil Penalty","Court Summons","Row Number",
"10075     ","7/1/2014 8:45:00 AM",0,0,0,0,1,0,0,117,
"10075     ","12/9/2014 8:15:00 AM",0,0,0,0,1,0,0,118,
"10076     ","6/3/2014 9:42:36 AM",0,0,0,0,1,0,0,119,
"10076     ","6/16/2014 11:50:00 AM",0,0,0,0,1,0,0,120,
"10076     ","6/22/2015 1:35:00 PM",0,0,0,0,1,0,0,121,
"10078     ","6/17/2014 2:02:32 PM",0,0,0,0,1,0,0,122,
"1007CC    ","6/2/2000 12:00:00 AM",1,0,0,0,0,0,0,123,
"1007CC    ","6/5/2000 12:00:00 AM",1,0,0,0,0,0,0,124,
"1007CC    ","7/12/2001 12:00:00 AM",1,0,0,0,1,0,0,125,
"1007X     ","10/26/2007 11:30:00 AM",0,0,0,0,1,0,0,126,
"1007X     ","2/28/2008 1:50:00 PM",0,0,0,0,1,0,0,127,
"1007X     ","12/30/2008 12:15:00 PM",0,0,0,0,1,0,0,128,
"1007X     ","7/1/2009 12:00:00 AM",0,0,0,0,0,1,0,129,
"1007X     ","7/23/2010 12:00:00 AM",0,0,0,0,0,1,0,130,
"1007X     ","1/6/2011 8:53:39 AM",0,0,0,0,1,0,0,131,
"10082     ","12/3/2014 9:50:00 AM",0,0,0,0,1,0,0,132,
"10083     ","6/29/2015 9:19:41 AM",0,0,0,0,1,0,0,133,
"10084     ","6/13/2014 1:40:00 PM",0,0,0,0,1,0,0,134,
"10084     ","12/4/2014 1:40:00 PM",0,0,0,0,1,0,0,135,
"10084     ","6/18/2015 12:30:00 PM",1,0,0,0,1,0,0,136,
"10084     ","7/16/2015 2:55:00 PM",0,0,0,0,1,0,0,137,
"10084     ","6/29/2016 9:25:00 AM",0,0,0,0,1,0,0,138,
"10086     ","7/3/2014 1:00:00 PM",0,0,0,0,1,0,0,139,
"10086     ","1/26/2015 1:50:00 PM",0,0,0,0,1,0,0,140,
"10086     ","7/28/2015 2:30:21 PM",0,0,0,0,1,0,0,141,
"10086     ","8/7/2015 2:40:00 PM",0,0,0,0,1,0,0,142,
"10086     ","1/25/2016 12:45:00 PM",0,0,0,0,1,0,0,143,
"10088     ","7/2/2014 3:00:00 PM",0,0,0,0,1,0,0,144,
"10088     ","7/20/2015 12:30:00 PM",0,0,0,0,1,0,0,145,
"10089     ","6/25/2014 12:00:05 PM",0,0,0,0,1,0,0,146,
"1009      ","9/17/2003 3:30:00 PM",1,0,0,0,0,0,0,147,
"1009      ","10/29/2004 9:15:00 AM",1,0,0,0,0,0,0,148,
"1009      ","4/1/2016 8:00:00 AM",0,0,0,0,1,0,0,149,
"10094     ","7/29/2014 4:45:00 PM",0,0,0,0,1,0,0,150,
"10096     ","2/5/2015 9:30:00 AM",0,0,0,0,1,0,0,151,
"10096     ","1/20/2016 11:50:00 AM",0,0,0,0,1,0,0,152,
"10097     ","7/6/2015 9:40:00 AM",0,0,0,0,1,0,0,153,
"10097     ","1/7/2016 10:55:00 AM",0,0,0,0,1,0,0,154,
"1010      ","5/30/2014 12:30:00 PM",0,0,0,0,1,0,0,155,
"1010      ","10/3/2014 9:30:00 AM",0,0,0,0,1,0,0,156,
"1010      ","4/6/2015 9:00:00 AM",0,0,0,0,1,0,0,157,
"1010      ","10/7/2015 11:30:00 PM",0,0,0,0,1,0,0,158,
"1010      ","5/31/2016 8:45:00 AM",0,0,0,0,1,0,0,159,
"1010      ","6/10/2016 5:35:52 PM",0,0,0,0,1,0,0,160,
"10108     ","5/12/2014 1:00:25 PM",0,0,0,0,1,0,0,161,
"1011      ","10/13/2014 11:00:10 AM",0,0,0,0,1,0,0,162,
"1011      ","4/15/2015 10:00:00 AM",0,0,0,0,1,0,0,163,
"1011      ","10/6/2015 4:05:00 PM",0,0,0,0,1,0,0,164,
"10112     ","1/5/2016 3:45:00 PM",0,1,0,0,0,0,0,165,
"10114     ","3/2/2016 1:00:00 PM",0,0,0,0,1,0,0,166,
"1011X     ","5/10/2001 12:00:00 AM",0,0,0,0,0,1,0,167,
"1011X     ","2/5/2008 1:00:00 PM",0,0,0,0,1,0,0,168,
"1011X     ","2/2/2009 2:30:00 PM",0,0,0,0,1,0,0,169,
"1011X     ","10/25/2010 11:02:36 AM",1,0,0,0,0,0,0,170,
"1011X     ","12/23/2010 8:22:28 AM",1,0,0,0,0,0,0,171,
"1011X     ","8/11/2011 10:41:44 AM",0,0,0,0,1,0,0,172,
"1012      ","3/27/2014 12:15:00 PM",1,0,0,0,0,0,0,173,
"10121     ","9/30/2015 1:12:10 PM",1,0,0,0,0,0,0,174,
"10123     ","7/15/2015 12:20:00 PM",0,0,0,0,1,0,0,175,
"10124     ","8/19/2014 12:20:00 PM",0,1,0,0,0,0,0,176,
"1012CC    ","9/12/2003 1:45:00 PM",1,0,0,0,0,0,0,177,
"1012CC    ","5/20/2005 3:00:00 PM",1,0,0,0,0,0,0,178,
"1013      ","4/23/2014 4:00:00 PM",0,0,0,0,1,0,0,179,
"1013      ","4/15/2016 10:35:10 AM",0,0,0,0,1,0,0,180,
"10134     ","7/23/2015 9:30:00 AM",0,0,0,0,1,0,0,181,
"10134     ","6/13/2016 11:50:00 AM",1,0,0,0,0,0,0,182,
"1014      ","9/14/2000 12:00:00 AM",1,0,0,0,0,0,0,183,
"1014      ","8/29/2002 12:00:00 AM",1,0,0,0,0,0,0,184,
"1014      ","1/15/2004 12:00:00 AM",0,0,0,0,0,1,0,185,
"1014      ","1/19/2005 10:35:00 AM",0,0,0,0,1,0,0,186,
"1014      ","6/27/2005 1:55:00 PM",0,0,0,0,1,0,0,187,
"1014      ","1/22/2008 12:00:00 AM",0,0,0,0,0,1,0,188,
"1014      ","1/26/2009 12:00:00 AM",0,0,0,0,0,1,0,189,
"1014      ","6/1/2011 11:13:04 AM",0,0,0,0,1,0,0,190,
"1014      ","2/27/2012 2:01:46 PM",0,0,0,0,1,0,0,191,
"1014      ","6/4/2012 3:46:00 PM",0,0,0,0,1,0,0,192,
"1014      ","6/19/2012 3:01:00 PM",0,0,0,0,1,0,0,193,
"1014      ","10/1/2012 2:54:00 PM",0,0,0,0,1,0,0,194,
"1014      ","6/11/2013 2:00:44 PM",0,0,0,0,1,0,0,195,
"10140     ","8/24/2015 4:10:00 PM",0,0,0,0,1,0,0,196,
"10141     ","10/29/2015 11:50:10 AM",1,0,0,0,0,0,0,197,
"10149     ","9/25/2015 2:00:00 PM",0,0,0,0,1,0,0,198,
"10149     ","9/30/2015 1:45:00 PM",0,0,0,0,1,0,0,199,
"1015      ","9/2/2014 3:45:00 PM",0,0,0,0,1,0,0,200,
"10152     ","6/16/2016 10:30:00 AM",0,0,1,0,0,0,0,201,
"10157     ","8/1/2014 12:50:00 PM",0,0,0,0,1,0,0,202,
"10157     ","1/16/2015 10:35:00 AM",1,0,0,0,1,0,0,203,
"10157     ","1/7/2016 11:05:01 AM",0,0,0,0,1,0,0,204,
"10158     ","1/19/2016 9:30:00 AM",1,0,0,0,0,0,0,205,
"10159     ","8/5/2014 10:45:00 AM",0,0,0,0,1,0,0,206,
"10159     ","7/22/2015 12:30:00 PM",0,0,0,0,1,0,0,207,
"1015X     ","4/8/2009 12:15:00 PM",0,0,0,0,1,0,0,208,
"1015X     ","4/29/2009 1:15:00 PM",0,1,0,0,0,0,0,209,
"1015X     ","5/12/2009 12:00:00 AM",0,0,0,0,0,1,0,210,
"1016      ","2/13/2014 4:30:00 PM",0,0,0,0,1,0,0,211,
"1016      ","6/24/2014 4:15:00 PM",0,0,0,0,1,0,0,212,
"10161     ","7/7/2014 3:20:00 PM",0,0,0,0,1,0,0,213,
"10162     ","8/15/2014 9:30:00 AM",0,0,0,0,1,0,0,214,
"10164     ","5/3/2016 12:20:00 PM",1,0,0,0,0,0,0,215,
"10164     ","5/17/2016 12:00:00 PM",1,0,0,0,0,0,0,216,
"10166     ","8/22/2013 1:45:00 PM",1,0,0,0,0,0,0,217,
"10166     ","7/9/2014 3:00:00 PM",0,0,0,0,1,0,0,218,
"10166     ","5/7/2015 10:45:00 AM",0,0,0,0,1,0,0,219,
"10167     ","7/22/2015 2:45:00 PM",0,0,0,0,1,0,0,220,
"10169     ","10/21/2014 2:00:00 PM",0,0,0,0,1,0,0,221,
"1016X     ","9/26/2007 2:50:00 PM",0,0,1,0,0,0,0,222,
"1016X     ","8/27/2008 12:00:00 AM",0,0,0,0,0,1,0,223,
"1016X     ","10/22/2009 2:56:19 PM",0,0,0,0,1,0,0,224,
"1016X     ","4/15/2010 12:00:00 AM",0,0,0,0,0,1,0,225,
"1017      ","4/28/2004 12:15:00 PM",1,0,0,0,0,0,0,226,
"1017      ","5/7/2004 9:15:00 AM",1,0,0,0,0,0,0,227,
"10171     ","6/30/2014 11:40:50 AM",0,0,0,0,1,0,0,228,
"10171     ","12/8/2015 9:15:00 AM",0,0,0,0,1,0,0,229,
"10172     ","6/25/2014 2:35:00 PM",0,0,0,0,1,0,0,230,
"10174     ","11/20/2015 3:30:00 PM",0,0,0,0,1,0,0,231,
"10178     ","6/30/2014 1:45:00 PM",0,0,0,0,1,0,0,232,
"10178     ","7/20/2015 8:25:00 AM",0,0,0,0,1,0,0,233,
"10178     ","8/21/2015 10:30:00 AM",0,0,0,0,1,0,0,234,
"1018      ","8/25/2003 1:00:00 PM",1,0,0,0,0,0,0,235,
"1018      ","8/26/2003 2:30:00 PM",1,0,0,0,0,0,0,236,
"1018      ","9/25/2003 12:30:00 PM",1,0,0,0,0,0,0,237,
